player,team_code,pts_per_game,ast_per_game,trb_per_game,team_name,games_played,team_ppg,opponent_ppg,pace,offensive_rating,defensive_rating,net_rating,win_percentage,strength_of_schedule
Shai Gilgeous-Alexander,OKC,32.7,6.4,5.0,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Giannis Antetokounmpo,MIL,30.4,6.5,11.9,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Nikola Jokić,DEN,29.6,10.2,12.7,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Luka Dončić,DAL,28.1,7.8,8.3,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Luka Dončić,LAL,28.2,7.5,8.1,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Anthony Edwards,MIN,27.6,4.5,5.7,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Jayson Tatum,BOS,26.8,6.0,8.7,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Kevin Durant,PHO,26.6,4.2,6.0,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32
Tyrese Maxey,PHI,26.3,6.1,3.3,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Cade Cunningham,DET,26.1,9.1,6.1,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Jalen Brunson,NYK,26.0,7.3,2.9,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Paolo Banchero,ORL,25.9,4.8,7.5,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Devin Booker,PHO,25.6,7.1,4.1,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32
LaMelo Ball,CHO,25.2,7.4,4.9,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Damian Lillard,MIL,24.9,7.1,4.7,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Anthony Davis,LAL,25.7,3.4,11.9,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Anthony Davis,DAL,20.0,4.4,10.1,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Kyrie Irving,DAL,24.7,4.6,4.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Zion Williamson,NOP,24.6,5.3,7.2,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Stephen Curry,GSW,24.5,6.0,4.4,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
LeBron James,LAL,24.4,8.2,7.8,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Karl-Anthony Towns,NYK,24.4,3.1,12.8,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Victor Wembanyama,SAS,24.3,3.7,11.0,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Franz Wagner,ORL,24.2,4.7,5.7,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Trae Young,ATL,24.2,11.6,3.1,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Donovan Mitchell,CLE,24.0,5.0,4.5,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Cam Thomas,BRK,24.0,3.8,3.3,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Tyler Herro,MIA,23.9,5.5,5.2,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Joel Embiid,PHI,23.8,4.5,8.2,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
De'Aaron Fox,SAC,25.0,6.1,5.0,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
De'Aaron Fox,SAS,19.7,6.8,4.3,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Zach LaVine,CHI,24.0,4.5,4.8,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Zach LaVine,SAC,22.4,3.8,3.5,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Ja Morant,MEM,23.2,7.3,4.1,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
James Harden,LAC,22.8,8.7,5.8,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Jaylen Brown,BOS,22.2,4.5,5.8,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
DeMar DeRozan,SAC,22.2,4.4,3.9,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Brandon Ingram,NOP,22.2,5.2,5.6,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Jaren Jackson Jr.,MEM,22.2,2.0,5.6,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
Norman Powell,LAC,21.8,2.1,3.2,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Jalen Williams,OKC,21.6,5.1,5.3,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Kawhi Leonard,LAC,21.5,3.1,5.9,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Jamal Murray,DEN,21.4,6.0,3.9,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Trey Murphy III,NOP,21.2,3.5,5.1,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
RJ Barrett,TOR,21.1,5.4,6.3,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
CJ McCollum,NOP,21.1,4.1,3.8,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Jalen Green,HOU,21.0,3.4,4.6,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Brandon Miller,CHO,21.0,3.6,4.9,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Darius Garland,CLE,20.6,6.7,2.9,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Jordan Poole,WAS,20.5,4.5,3.0,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Coby White,CHI,20.4,4.5,3.7,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Miles Bridges,CHO,20.3,3.9,7.5,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Austin Reaves,LAL,20.2,5.8,4.5,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Pascal Siakam,IND,20.2,3.4,6.9,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Kristaps Porziņģis,BOS,19.5,2.1,6.8,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Scottie Barnes,TOR,19.3,5.8,7.7,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Anfernee Simons,POR,19.3,4.8,2.7,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Desmond Bane,MEM,19.2,5.3,6.1,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
Domantas Sabonis,SAC,19.1,6.0,13.9,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Alperen Şengün,HOU,19.1,4.9,10.3,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
John Collins,UTA,19.0,2.0,8.2,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Lauri Markkanen,UTA,19.0,1.5,5.9,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Jalen Johnson,ATL,18.9,5.0,10.0,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Cameron Johnson,BRK,18.8,3.4,4.3,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Julius Randle,MIN,18.7,4.7,7.1,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Tyrese Haliburton,IND,18.6,9.2,3.5,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Evan Mobley,CLE,18.5,3.2,9.3,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Shaedon Sharpe,POR,18.5,2.8,4.5,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Nikola Vučević,CHI,18.5,3.5,10.1,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Collin Sexton,UTA,18.4,4.2,2.7,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Michael Porter Jr.,DEN,18.2,2.1,7.0,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Bam Adebayo,MIA,18.1,4.3,9.6,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Andrew Wiggins,GSW,17.6,2.4,4.6,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Andrew Wiggins,MIA,19.0,3.3,4.2,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
OG Anunoby,NYK,18.0,2.2,4.8,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Mikal Bridges,NYK,17.6,3.7,3.2,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Jaden Ivey,DET,17.6,4.0,4.1,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Jimmy Butler,MIA,17.0,4.8,5.2,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Jimmy Butler,GSW,17.9,5.9,5.5,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Dejounte Murray,NOP,17.5,7.4,6.5,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Malik Monk,SAC,17.2,5.6,3.8,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Immanuel Quickley,TOR,17.1,5.8,3.5,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
De'Andre Hunter,ATL,19.0,1.5,3.9,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
De'Andre Hunter,CLE,14.3,1.3,4.2,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Bradley Beal,PHO,17.0,3.7,3.3,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32
Deni Avdija,POR,16.9,3.9,7.3,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Keyonte George,UTA,16.8,5.6,3.8,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Ivica Zubac,LAC,16.8,2.7,12.6,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Derrick White,BOS,16.4,4.8,4.5,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Malik Beasley,DET,16.3,1.7,2.6,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Devin Vassell,SAS,16.3,2.9,4.0,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Jordan Clarkson,UTA,16.2,3.7,3.2,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Paul George,PHI,16.2,4.3,5.3,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Jalen Suggs,ORL,16.2,3.7,4.0,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Bennedict Mathurin,IND,16.1,1.9,5.3,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Myles Turner,IND,15.6,1.5,6.5,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Christian Braun,DEN,15.4,2.6,5.2,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Jonathan Kuminga,GSW,15.3,2.2,4.6,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Jared McCain,PHI,15.3,2.6,2.4,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Mark Williams,CHO,15.3,2.5,10.2,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Kelly Oubre Jr.,PHI,15.1,1.8,6.1,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Chet Holmgren,OKC,15.0,2.0,8.0,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Kyle Kuzma,WAS,15.2,2.5,5.8,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Kyle Kuzma,MIL,14.5,2.2,5.6,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Stephon Castle,SAS,14.7,4.1,3.7,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Aaron Gordon,DEN,14.7,3.2,4.8,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
P.J. Washington,DAL,14.7,2.3,7.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Quentin Grimes,DAL,10.2,2.1,3.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Quentin Grimes,PHI,21.9,4.5,5.2,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Josh Giddey,CHI,14.6,7.2,8.1,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Jakob Poeltl,TOR,14.5,2.8,9.6,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Deandre Ayton,POR,14.4,1.6,10.2,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Gradey Dick,TOR,14.4,1.8,3.6,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Jerami Grant,POR,14.4,2.1,3.5,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Payton Pritchard,BOS,14.3,3.5,3.8,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Naz Reid,MIN,14.2,2.3,6.0,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Dyson Daniels,ATL,14.1,4.4,5.9,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Tre Mann,CHO,14.1,3.0,2.9,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Amen Thompson,HOU,14.1,3.8,8.2,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Fred VanVleet,HOU,14.1,5.6,3.7,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Dillon Brooks,HOU,14.0,1.7,3.7,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Tolu Smith,DET,14.0,0.0,8.0,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Klay Thompson,DAL,14.0,2.0,3.4,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Bobby Portis,MIL,13.9,2.1,8.4,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Tobias Harris,DET,13.7,2.2,5.9,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Josh Hart,NYK,13.6,5.9,9.6,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Jarrett Allen,CLE,13.5,1.9,9.7,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Onyeka Okongwu,ATL,13.4,2.3,8.9,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Russell Westbrook,DEN,13.3,6.1,4.9,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Naji Marshall,DAL,13.2,3.0,4.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Dennis Schröder,BRK,18.4,6.6,3.0,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Dennis Schröder,GSW,10.6,4.4,2.3,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Dennis Schröder,DET,10.8,5.3,2.6,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Rui Hachimura,LAL,13.1,1.4,5.0,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Brook Lopez,MIL,13.0,1.8,5.0,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Alex Sarr,WAS,13.0,2.4,6.5,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Moritz Wagner,ORL,12.9,1.4,4.9,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Malcolm Brogdon,WAS,12.7,4.1,3.8,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Scoot Henderson,POR,12.7,5.1,3.0,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Keldon Johnson,SAS,12.7,1.6,4.8,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
D'Angelo Russell,LAL,12.4,4.7,2.8,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
D'Angelo Russell,BRK,12.9,5.6,2.8,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Zaccharie Risacher,ATL,12.6,1.2,3.6,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Santi Aldama,MEM,12.5,2.9,6.4,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
Ty Jerome,CLE,12.5,3.4,2.5,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Keegan Murray,SAC,12.4,1.4,6.7,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Lonnie Walker IV,PHI,12.4,2.5,3.2,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Harrison Barnes,SAS,12.3,1.7,3.8,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Bilal Coulibaly,WAS,12.3,3.4,5.0,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Ayo Dosunmu,CHI,12.3,4.5,3.5,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Daniel Gafford,DAL,12.3,1.4,6.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Jaden McDaniels,MIN,12.2,2.0,5.7,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Jabari Smith Jr.,HOU,12.2,1.1,7.0,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Caris LeVert,CLE,10.2,3.7,2.8,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Caris LeVert,ATL,14.9,2.9,3.7,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Drew Timme,BRK,12.1,2.2,7.2,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Tari Eason,HOU,12.0,1.5,6.4,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Rudy Gobert,MIN,12.0,1.8,10.9,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Aaron Nesmith,IND,12.0,1.2,4.0,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Aaron Wiggins,OKC,12.0,1.8,3.9,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
